iteration	chainIds	acceptanceRate
8000	0,1	0.796
8000	2,3	0.791
8000	4,5	0.787
8000	6,7	0.752
8000	8,9	0.681
8000	10,11	0.574
8000	12,13	0.616
8000	14,15	0.729
8000	1,2	0.800
8000	3,4	0.788
8000	5,6	0.760
8000	7,8	0.739
8000	9,10	0.661
8000	11,12	0.651
8000	13,14	0.564
16000	0,1	0.830
16000	2,3	0.808
16000	4,5	0.803
16000	6,7	0.782
16000	8,9	0.746
16000	10,11	0.689
16000	12,13	0.649
16000	14,15	0.654
16000	1,2	0.821
16000	3,4	0.794
16000	5,6	0.792
16000	7,8	0.761
16000	9,10	0.717
16000	11,12	0.647
16000	13,14	0.593
24000	0,1	0.838
24000	2,3	0.822
24000	4,5	0.797
24000	6,7	0.785
24000	8,9	0.756
24000	10,11	0.686
24000	12,13	0.662
24000	14,15	0.880
24000	1,2	0.833
24000	3,4	0.798
24000	5,6	0.791
24000	7,8	0.788
24000	9,10	0.726
24000	11,12	0.659
24000	13,14	0.743
32000	0,1	0.853
32000	2,3	0.820
32000	4,5	0.807
32000	6,7	0.802
32000	8,9	0.784
32000	10,11	0.730
32000	12,13	0.657
32000	14,15	0.810
32000	1,2	0.823
32000	3,4	0.803
32000	5,6	0.804
32000	7,8	0.790
32000	9,10	0.758
32000	11,12	0.699
32000	13,14	0.679
